CLIENT_NAME,SALES,PROVINCE,PHONE_NUMBER,,,,,
中远海运,宗玥辰,上海市,86-21-65966262,,,,,
中原农业,宗玥辰,河南省,86-0371-56563875,,,,,
中英人寿,宗玥辰,北京市,86-10-84400888,,,,,
中银三星,宗玥辰,北京市,86-10-83262688,,,,,
中信建投,宗玥辰,北京市,86-10-56052830,,,,,
中信保诚,宗玥辰,北京市,86-10-85878699,,,,,
中石油,宗玥辰,新疆,86-010-68850900,,,,,
中国融通,宗玥辰,上海市,-,,,,,
工商银行,宗玥辰,-,-,,,,,
招商信诺,宗玥辰,深圳市,86-0755-83196209,,,,,
长江养老,宗玥辰,上海市,86-21-38606800,,,,,
永诚财产,宗玥辰,上海市,86-21-51105888,,,,,
永安财产,宗玥辰,陕西省,86-029-89851666,,,,,
英大泰和,宗玥辰,北京市,86-10-59919288,,,,,
亚太财产,宗玥辰,深圳市,86-755-82516666,,,,,
信美人寿,宗玥辰,北京市,86-10-53916706,,,,,
现代财产,宗玥辰,北京市,86-010-84428100,,,,,
西部证券,宗玥辰,陕西省,86-29-87406171,,,,,
西部期货,宗玥辰,-,-,,,,,
上银理财,宗玥辰,-,-,,,,,
瑞泰人寿,宗玥辰,北京市,86-10-88310999,,,,,
宁银理财,宗玥辰,-,-,,,,,
华泰资管,宗玥辰,上海市,86-21-61001668,,,,,
华泰人寿,宗玥辰,北京市,86-10-59371188,,,,,
恒邦财产,宗玥辰,江西省,86-791-86726168,,,,,
国泰财产,宗玥辰,上海市,86-021-61032288,,,,,
东海证券,宗玥辰,江苏省,86-519-81595100,,,,,
东方财富,宗玥辰,西藏,86-21-23586688,,,,,
鼎诚人寿,宗玥辰,北京市,86-10-59216666,,,,,
安盟财产,宗玥辰,四川省,86-028-67670550,,,,,
中煤财产,宗玥辰,山西省,86-351-4118777,,,,,
国联证券,宗玥辰,江苏省,86-510-82833209,,,,,
瑞华健康,宗玥辰,-,-,,,,,
小康人寿,宗玥辰,北京市,86-10-85288588,,,,,
万家共赢,宗玥辰,-,-,,,,,
厦门信托,宗玥辰,福建省,86-592-5311227,,,,,
华夏恒邦,宗玥辰,-,-,,,,,
西南证券,王一诺,重庆市,86-23-63786433,,,,,
嘉实资本,王一诺,-,-,,,,,
华鑫证券,王一诺,广东省,86-21-54967388,,,,,
国元证券,王一诺,安徽省,86-551-62207968,,,,,
东证期货,王一诺,-,-,,,,,
创金合信,王一诺,-,-,,,,,
东方资产,王雪翼,-,-,,,,,
中路财产,王雪翼,青岛市,86-0532-55735200,,,,,
浙金信托,王雪翼,-,-,,,,,
云南信托,王雪翼,云南省,86-871-63173981,,,,,
阳光农业,王雪翼,黑龙江省,86-0451-55193391,,,,,
熊猫理财,王雪翼,-,-,,,,,
西藏隆源,王雪翼,-,-,,,,,
五星控股,王雪翼,-,-,,,,,
万向信托,王雪翼,浙江省,86-571-88226676,,,,,
泰山财产,王雪翼,山东省,86-0531-62306636,,,,,
四川天府,王雪翼,-,-,,,,,
三峡人寿,王雪翼,重庆市,86-23-65582255,,,,,
齐商银行,王雪翼,-,-,,,,,
陆家嘴国泰,王雪翼,上海市,86-21-61006168,,,,,
建信人寿,王雪翼,上海市,86-21-60638072,,,,,
建信保险,王雪翼,宁夏,86-010-85098005,,,,,
嘉兴银行,王雪翼,-,-,,,,,
吉林银行,孔强团队,-,-,,,,,
华西证券,王雪翼,四川省,86-28-86150207,,,,,
和泰人寿,王雪翼,山东省,86-400-666-5858,,,,,
杭工信,王雪翼,浙江省,86-571-87218265,,,,,
国宝人寿,王雪翼,四川省,86-28-67099666,,,,,
工银安盛,王雪翼,上海市,86-21-58792288,,,,,
东吴证券,王雪翼,江苏省,86-512-62601555,,,,,
德华安顾,王雪翼,山东省,86-531-55698999,,,,,
德邦证券,王雪翼,上海市,86-21-68761616,,,,,
