CONFIRMED_DATE,FUND_NUM,CLIENT_NAME,ACCOUNT_NAME,TRADE_NUM,FUND_CODE,FUND_NAME,ACTION,SHARES_CHANGED,MONEY_CHANGED,REMAINING_SHARES
20240627,TH0010000930,浙金信托,浙金汇债日日鑫1号债券投资集合资金信托计划,3371,601847,民汇62号,赎回,"950,000.00","￥-998,640.00","950,000.00"
20240627,TH0010000382,万向信托,万向信托-TOF系列35号（日日盈系列3期集合资金信托计划）,2024,601847,民汇62号,赎回,"950,000.00","￥-998,640.00","950,000.00"
20240806,TH0000005926,北京人寿,北京人寿健康保障委托管理2号,636,999214,月月盈理财债券,赎回,"950,000.00","￥-998,450.00","950,000.00"
20240613,TH0010000382,万向信托,万向信托-TOF系列35号（日日盈系列3期集合资金信托计划）,2024,601847,民汇62号,赎回,"950,000.00","￥-997,595.00","950,000.00"
20240521,TH6010001002,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活15号集合资产管理计划,3755,601847,民汇62号,赎回,"950,000.00","￥-996,075.00","950,000.00"
20240329,TH0010000845,万向信托,万向信托-TOF系列19号（周周盈系列2期集合资金信托计划）,2921,999220,民汇20号,赎回,"830,000.00","￥-995,419.00","830,000.00"
20240312,TH6010001167,浙金信托,浙金汇债日日鑫2号债券投资集合资金信托计划,4122,999220,民汇20号,赎回,"830,000.00","￥-994,257.00","830,000.00"
20240422,TH0010000382,万向信托,万向信托-TOF系列35号（日日盈系列3期集合资金信托计划）,2024,601847,民汇62号,赎回,"950,000.00","￥-993,985.00","950,000.00"
20240221,TH0010000849,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活4号集合资产管理计划,2950,600629,民汇48号,赎回,"900,000.00","￥-990,630.00","900,000.00"
20240425,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603359,浦银惠享5号,赎回,"99,147,332.00","￥-99,999,999.06","99,147,332.00"
20240315,TH0000000145,民生人寿,民生人寿保险股份有限公司-分红固收,14,603297,民汇88号,赎回,"99,880,000.00","￥-99,999,856.00","99,880,000.00"
20240125,TH6010001466,浦银理财,浦银理财周周鑫稳健款最短持有期理财产品,4777,603077,浦银惠享3号,赎回,"99,285,000.00","￥-99,999,852.00","99,285,000.00"
20240822,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603077,浦银惠享3号,赎回,"97,690,000.00","￥-99,995,484.00","97,690,000.00"
20240418,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603359,浦银惠享5号,赎回,"99,200,000.00","￥-99,993,600.00","99,200,000.00"
20240829,TH6010001461,浦银理财,浦银理财天添鑫中短债理财产品,4772,603077,浦银惠享3号,赎回,"97,640,000.00","￥-99,993,124.00","97,640,000.00"
20240410,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603077,浦银惠享3号,赎回,"98,680,000.00","￥-99,992,444.00","98,680,000.00"
20240411,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603077,浦银惠享3号,赎回,"98,670,000.00","￥-99,992,178.00","98,670,000.00"
20240813,TH6010001469,浦银理财,浦银理财周周鑫最短持有期理财产品,4780,603077,浦银惠享3号,赎回,"97,751,710.66","￥-99,990,224.83","97,751,710.66"
20240813,TH6010001466,浦银理财,浦银理财周周鑫稳健款最短持有期理财产品,4777,603077,浦银惠享3号,赎回,"97,751,710.66","￥-99,990,224.83","97,751,710.66"
20240227,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603077,浦银惠享3号,赎回,"99,010,000.00","￥-99,990,199.00","99,010,000.00"
20240423,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603359,浦银惠享5号,赎回,"99,157,200.00","￥-99,990,120.48","99,157,200.00"
20240202,TH6010001466,浦银理财,浦银理财周周鑫稳健款最短持有期理财产品,4777,603077,浦银惠享3号,赎回,"99,216,192.00","￥-99,990,078.30","99,216,192.00"
